fecha;anio;mes;dia;nombre_mes;nombre_dia;trimestre;es_dia_habil;ultimo_dia_mes
1/1/2020;2020;1;1;Enero;Miércoles;1;1;31/1/2020
2/1/2020;2020;1;2;Enero;Jueves;1;1;31/1/2020
3/1/2020;2020;1;3;Enero;Viernes;1;1;31/1/2020
4/1/2020;2020;1;4;Enero;Sábado;1;0;31/1/2020
5/1/2020;2020;1;5;Enero;Domingo;1;0;31/1/2020
6/1/2020;2020;1;6;Enero;Lunes;1;1;31/1/2020
7/1/2020;2020;1;7;Enero;Martes;1;1;31/1/2020
8/1/2020;2020;1;8;Enero;Miércoles;1;1;31/1/2020
9/1/2020;2020;1;9;Enero;Jueves;1;1;31/1/2020
10/1/2020;2020;1;10;Enero;Viernes;1;1;31/1/2020
11/1/2020;2020;1;11;Enero;Sábado;1;0;31/1/2020
12/1/2020;2020;1;12;Enero;Domingo;1;0;31/1/2020
13/1/2020;2020;1;13;Enero;Lunes;1;1;31/1/2020
14/1/2020;2020;1;14;Enero;Martes;1;1;31/1/2020
15/1/2020;2020;1;15;Enero;Miércoles;1;1;31/1/2020
16/1/2020;2020;1;16;Enero;Jueves;1;1;31/1/2020
17/1/2020;2020;1;17;Enero;Viernes;1;1;31/1/2020
18/1/2020;2020;1;18;Enero;Sábado;1;0;31/1/2020
19/1/2020;2020;1;19;Enero;Domingo;1;0;31/1/2020
20/1/2020;2020;1;20;Enero;Lunes;1;1;31/1/2020
21/1/2020;2020;1;21;Enero;Martes;1;1;31/1/2020
22/1/2020;2020;1;22;Enero;Miércoles;1;1;31/1/2020
23/1/2020;2020;1;23;Enero;Jueves;1;1;31/1/2020
24/1/2020;2020;1;24;Enero;Viernes;1;1;31/1/2020
25/1/2020;2020;1;25;Enero;Sábado;1;0;31/1/2020
26/1/2020;2020;1;26;Enero;Domingo;1;0;31/1/2020
27/1/2020;2020;1;27;Enero;Lunes;1;1;31/1/2020
28/1/2020;2020;1;28;Enero;Martes;1;1;31/1/2020
29/1/2020;2020;1;29;Enero;Miércoles;1;1;31/1/2020
30/1/2020;2020;1;30;Enero;Jueves;1;1;31/1/2020
31/1/2020;2020;1;31;Enero;Viernes;1;1;31/1/2020
1/2/2020;2020;2;1;Febrero;Sábado;1;0;29/2/2020
2/2/2020;2020;2;2;Febrero;Domingo;1;0;29/2/2020
3/2/2020;2020;2;3;Febrero;Lunes;1;1;29/2/2020
4/2/2020;2020;2;4;Febrero;Martes;1;1;29/2/2020
5/2/2020;2020;2;5;Febrero;Miércoles;1;1;29/2/2020
6/2/2020;2020;2;6;Febrero;Jueves;1;1;29/2/2020
7/2/2020;2020;2;7;Febrero;Viernes;1;1;29/2/2020
8/2/2020;2020;2;8;Febrero;Sábado;1;0;29/2/2020
9/2/2020;2020;2;9;Febrero;Domingo;1;0;29/2/2020
10/2/2020;2020;2;10;Febrero;Lunes;1;1;29/2/2020
11/2/2020;2020;2;11;Febrero;Martes;1;1;29/2/2020
12/2/2020;2020;2;12;Febrero;Miércoles;1;1;29/2/2020
13/2/2020;2020;2;13;Febrero;Jueves;1;1;29/2/2020
14/2/2020;2020;2;14;Febrero;Viernes;1;1;29/2/2020
15/2/2020;2020;2;15;Febrero;Sábado;1;0;29/2/2020
16/2/2020;2020;2;16;Febrero;Domingo;1;0;29/2/2020
17/2/2020;2020;2;17;Febrero;Lunes;1;1;29/2/2020
